Question#,Passage_Name,Reference_Passage_Section,Key,Difficulty,Avg_Score,Proportion_Correct,Stem,A,B,C,D,Question ID,Description,Grade,Year,Block ID,Seq#,Type,NAEP ID,Contexts for Reading (1992-2007),Aspects of Reading (1992-2007),Content Area (2009 and on),Cognitive Target (2009 and on)
1,[1],Page 3,C,1,276,0.74,"1. On page 3, when the author mentions the possibility of people turning into puritans, she is using this word to refer to people who",lived a long time ago,rarely make a mistake,are serious and reserved,dress in plain and dark clothing,2013-8R4,Recognize meaning of word as used in persuasive essay,8,2013,8R4,2,MC,R060302,NoAsign,NoAsign,Informational,Integrate/Interpret
2,[1],Page 3,A,1,272,0.79,"2. At the beginning of the essay, the author suggests that people are so concerned with having fun that they",try to find fun in all their experiences,spend a lot of money trying to have fun,join groups to learn how to have fun,avoid new experiences that may not be fun,2013-8R4,Interpret opening paragraphs to recognize main idea,8,2013,8R4,3,MC,R060304,NoAsign,NoAsign,Informational,Integrate/Interpret
3,[1],Page 3;Page 4,B,2,281,0.52,3. What is the author's point about big occasions like holidays?,They go by too quickly to be enjoyed.,They are not as much fun as people expect them to be.,They have become too centered around money.,They help us to appreciate the important events in life.,2013-8R4,Recognize implicit supporting idea in persuasive essay,8,2013,8R4,5,MC,R060303,NoAsign,NoAsign,Informational,Integrate/Interpret
4,[1],Page 3;Page 4,C,1,277,0.63,4. The author assumes that the people reading her essay,probably had fun going to amusement parks as children,prefer dangerous experiences over fun activities,may be worried that they are not having enough fun,enjoy discussing the topic of fun,2013-8R4,Recognize assumption related to author's point of view in persuasive essay,8,2013,8R4,7,MC,R060307,NoAsign,NoAsign,Informational,Integrate/Interpret
5,[1],Page 4,B,2,280,0.49,"5. On page 4, when the author tells us to ""treat fun reverently,"" she is encouraging us to",look forward to having fun,have great respect for fun,teach others how to have fun,have fun less frequently,2013-8R4,Recognize meaning of word as used in persuasive essay,8,2013,8R4,8,MC,R060308,NoAsign,NoAsign,Informational,Integrate/Interpret
6,[1],Page 3,D,1,280,0.61,"The following paragraph is from the essay.

     Think of all the things that got the reputation of being fun.
Family outings were supposed to be fun. Education was supposed to be fun. Work was supposed to be fun. Walt Disney was supposed to be fun. Church was supposed to be fun.
Staying fit was supposed to be fun. 

6. What is the author implying in this paragraph?",It is possible to have fun in a wide range of activities.,A person's reputation is based on how much fun the person has.,Most daily activities are less important than we think.,We should not expect everything in life to be fun.,2013-8R4,Recognize generalization of main idea of persuasive essay based on one paragraph,8,2013,8R4,10,MC,R060310,NoAsign,NoAsign,Informational,Integrate/Interpret
7,[2],Page 2;Page 3;Page 4,D,1,273,0.62,7. What is the main purpose of the article?,To explain why the aquarium released the white shark,To compare white sharks with other fish living in captivity,To argue that white sharks should be studied more,To describe how one white shark survived living in an aquarium,2013-8R8,Recognize main purpose of article,8,2013,8R8,1,MC,R059101,NoAsign,NoAsign,Informational,Integrate/Interpret
8,[2],Page 2,B,1,271,0.92,"8. On page 2, when John O'Sullivan says the baby white shark is fascinating, he means that she",was swimming very fast,was very interesting to watch,could swim better than other sharks,liked to perform for aquarium visitors,2013-8R8,Recognize meaning of a word as used in an article,8,2013,8R8,2,MC,R059102,NoAsign,NoAsign,Informational,Integrate/Interpret
9,[2],Page 2;Page 3;Page 4,C,1,276,0.75,"9. According to the article, why has it been difficult to keep white sharks in captivity?",They grow too quickly.,They escape from the outer tank.,They do not eat.,They need very large tanks.,2013-8R8,Make an inference based on explicitly stated information,8,2013,8R8,3,MC,R059103,NoAsign,NoAsign,Informational,Locate/Recall
10,[2],Page 2,A,1,271,0.95,"10. On page 2, when the article says that the baby shark had been caught accidentally, this means that",the fisherman was not trying to catch a shark,the shark was hurt while it was being caught,the fisherman had used a special floating pen,the shark had bumped into the fishing boat,2013-8R8,Recognize meaning of word as used in an article,8,2013,8R8,4,MC,R059104,NoAsign,NoAsign,Informational,Integrate/Interpret
11,[2],Page 2;Page 3;Page 4,A,1,276,0.75,"11. After she was captured, why was the baby white shark kept in a special floating pen?",To help her get used to a small space,To make sure she would not attack other fish,To help her learn how to eat different food,To make sure she was not sick,2013-8R8,Recognize explicitly stated information from article,8,2013,8R8,7,MC,R059105,NoAsign,NoAsign,Informational,Locate/Recall
12,[2],Page 2;Page 3;Page 4,D,1,273,0.8,12. Why did scientists attach a tag to the white shark before setting her free?,To track her growth over the next few years,To make sure she stayed healthy after her release,To prevent her from being caught by fishing boats,To track where she swam after her release,2013-8R8,Use text or graphic to recognize an explanation,8,2013,8R8,8,MC,R059107,NoAsign,NoAsign,Informational,Locate/Recall
13,[3],Page 2;Page 3;Page 4,A,1,277,0.64,13. What is the main purpose of the article?,To describe the events leading to the passage of the 19th Amendment,To identify the states that first supported women's voting rights,To discuss the most important leaders of the suffragist movement in the 1800s,To explain why the Equal Rights Amendment has not been ratified,2011-8R11,Women Vote: Recognize main purpose of article,8,2011,8R11,1,MC,R060801,NoAsign,NoAsign,Informational,Integrate/Interpret
14,[3],Page 2;Page 3;Page 4,D,1,272,0.79,"14. According to the article, women in New Jersey in the 1700s could",campaign for public office,participate in political debates,join political parties,vote if they owned property,2011-8R11,Women Vote: Locate relevant information,8,2011,8R11,3,MC,R060804,NoAsign,NoAsign,Informational,Locate/Recall
15,[3],Page 2;Page 3;Page 4,B,2,274,0.59,"15. According to the article, what was most surprising about the ""Womanifesto""?",It was written by Elizabeth Cady Stanton.,It called for equal voting rights for men and women.,It was based on the Declaration of Independence.,It had such a large number of resolutions.,2011-8R11,Women Vote: Locate relevant information,8,2011,8R11,4,MC,R060805,NoAsign,NoAsign,Informational,Locate/Recall
16,[3],Page 3,C,1,273,0.82,"16.  On page 3, the article says that Elizabeth Cady Stanton and Susan B. Anthony would become icons of the women's movement. This means that the two women would",become religious leaders,"be pictured on the ""Womanifesto"" document",become important symbols of the movement,be ready to sacrifice everything for the movement,2011-8R11,Women Vote: Interpret word as used in article,8,2011,8R11,5,MC,R060806,NoAsign,NoAsign,Informational,Integrate/Interpret
17,[3],Page 3,B,2,271,0.59,"17. On page 3, the article says that women in the suffrage movement ""pressed their case state by state."" This means that the women",spoke with newspaper reporters in many states,strongly urged the states to pass women's suffrage,traveled in large groups together from state to state,introduced the idea of women's suffrage to the states,2011-8R11,Women Vote: Interpret word as used in article,8,2011,8R11,8,MC,R060802,NoAsign,NoAsign,Informational,Integrate/Interpret
18,[3],Page 2;Page 3;Page 4,A,1,278,0.66,"18.  In her book, America's Women, what did Gail Collins suggest was the reason that the Wyoming Territory passed the first permanent suffrage law?",Because the small number of women there would not have had much political influence,Because the suffragist movement was very active in the western United States,Because most politicians there chose not to vote on that resolution,Because it was important for women to have the vote in such a dangerous area,2011-8R11,Women Vote: Locate relevant information,8,2011,8R11,9,MC,R060809,NoAsign,NoAsign,Informational,Locate/Recall
19,[4],Page 2;Page 3;Page 4,A,1,270,0.89,19. Which of the following does the author primarily use to persuade his readers to help fight e-waste?,Real-world examples,Interviews with scientists,Comparison and contrast,Historical context,2011-8R13,Tech-Trash: Recognize author's persuasive technique,8,2011,8R13,2,MC,R061302,NoAsign,NoAsign,Informational,Critique/Evaluate
20,[4],Page 3,C,1,271,0.87,"20.  On page 3, the article says that Robert Sterling uses donated computers to motivate his students. This means he uses these computers to",communicate more easily with his students,keep track of his students' progress,encourage his students to be more involved,teach his students new concepts and strategies,2011-8R13,Tech-Trash: Interpret word as used in article,8,2011,8R13,5,MC,R061305,NoAsign,NoAsign,Informational,Integrate/Interpret
21,[4],Page 3,D,1,275,0.73,"21.  On page 3, the article says that some computer makers are designing more ""environmentally responsible products."" This means that the products are",able to adapt to the environment,required to help the environment,made from natural materials,less likely to harm the environment,2011-8R13,Tech-Trash: Interpret word as used in article,8,2011,8R13,6,MC,R061306,NoAsign,NoAsign,Informational,Integrate/Interpret
22,[4],Page 2;Page 3;Page 4,B,1,273,0.65,"22. According to the article, what is another benefit of recycling e-waste besides helping the environment?",Recycling makes computers easier to build.,Recycling can help raise funds for good causes.,Recycling helps improve current technology.,Recycling improves government services.,2011-8R13,Tech-Trash: Recognize relevant detail,8,2011,8R13,8,MC,R061308,NoAsign,NoAsign,Informational,Locate/Recall
23,[5],Page 3;Page 4,B,2,275,0.56,"23. What is the central purpose of ""Alien Invasion""?",To point out that invasive species come from many different countries,To argue that invasive species are a serious problem that must be solved,To describe the damage that invasive species cause in Australia,To suggest that invasive species can be stopped only with the government's help,2009-8R12,Alien/Home: Central purpose of first article,8,2009,8R12,1,MC,R061101,NoAsign,NoAsign,Informational,Integrate/Interpret
24,[5],Page 3;Page 4,C,1,272,0.77,"24. ""Alien Invasion"" relies primarily on what form of evidence as support for its argument?",Quotations of famous scientists,Multiple definitions of invasive species,A series of examples of invasive species,Descriptions of different methods of control,2009-8R12,Alien/Home: What form of evidence supports argument,8,2009,8R12,2,MC,R061102,NoAsign,NoAsign,Informational,Critique/Evaluate
25,[5],Page 3;Page 4,D,1,272,0.84,"25. According to ""Alien Invasion,"" Australian farmers imported cane toads into Australia in order to",help save their native beetle populations,eat the sugarcane that was taking over their other crops,stop an alien species of beetle imported from Hawaii,eat beetles that were destroying sugarcane crops,2009-8R12,Alien/Home: Why farmers imported cane toads,8,2009,8R12,3,MC,R063601,NoAsign,NoAsign,Informational,Locate/Recall
26,[6],Page 5;Page 6,A,2,276,0.56,"26. What is the central purpose of ""Home on the Range""?",To inform people about two opposing views,To convince people to take a particular point of view,To describe recent scientific discoveries,To challenge a common belief,2009-8R12,Alien/Home: Central purpose of second article,8,2009,8R12,5,MC,R061105,NoAsign,NoAsign,Informational,Integrate/Interpret
27,[5],Page 4,C,1,275,0.72,"27. In ""Alien Invasion,"" on page 4, an Australian official says, ""We cannot tolerate a situation"" where cane toads are traveling across the Australian continent. This means that the official thinks that Australians cannot",find a solution to the problem posed by cane toads,understand why cane toads are such a problem,allow the cane toads to continue causing a problem,permit the cane toad problem to become well known,2009-8R12,Alien/Home: Meaning of cannot tolerate,8,2009,8R12,7,MC,R061107,NoAsign,NoAsign,Informational,Integrate/Interpret
28,[6],Page 5,D,1,276,0.64,"28. On page 5, when ""Home on the Range"" talks about vast parks in the Great Plains, this refers to parks that",have mostly flat land,have protected sections,are owned by private citizens,are extremely large,2009-8R12,Alien/Home: Vast parks refers to,8,2009,8R12,8,MC,R061108,NoAsign,NoAsign,Informational,Integrate/Interpret
29,[6],Page 5;Page 6,C,1,277,0.68,"29. According to ""Home on the Range,"" some scientists think that moving African animals to the Great Plains would help improve the area's",resistance to alien species,economy,biodiversity,research facilities,2009-8R12,Alien/Home: Why move animals,8,2009,8R12,9,MC,R061109,NoAsign,NoAsign,Informational,Locate/Recall
30,[7],Page 1,B,1,270,0.85,"30. According to the article, why did Ellie do much of her research after 6 p.m.?",She did not want people to learn about her project.,She did not want to inconvenience motorists.,She had to focus on a sample of 50 meters.,She saved money because the meters cost less after 6 p.m.,2007-8R8,Why did Ellie do research after 6 pm,8,2007,8R8,3,MC,R053403,Reading for Information,Developing Interpretation,NoAsign,NoAsign
31,[7],Page 1,A,2,275,0.52,"31. According to the article, what did Ellie learn from doing her meter project?",Every fourth meter ran too quickly.,Nine out of ten digital meters were accurate.,"3,600 parking meters were inaccurate.",Almost none of the 50 meters ran too slowly.,2007-8R8,What did Ellie learn from doing project,8,2007,8R8,4,MC,R053404,Reading for Information,Developing Interpretation,NoAsign,NoAsign
32,[7],Page 1,C,1,271,0.83,32. What happened when Ellie presented her report at the science fair?,She won first prize for her computer-generated graphics.,Other students were interested in her findings.,Parents wanted to tell her their own parking meter stories.,She decided to pursue meter monitoring as a career.,2007-8R8,What happened when Ellie presented report,8,2007,8R8,6,MC,R053406,Reading for Information,Developing Interpretation,NoAsign,NoAsign
33,[7],Page 1,D,1,268,0.9,33. What was the city of Berkeley's reaction to Ellie's findings?,The city hired 50 more meter monitors.,The city let the state legislature handle the problem.,The city gave refunds to people cheated by the meters.,"The city purchased 2,000 new parking meters.",2007-8R8,What was city of Berkeley's reaction,8,2007,8R8,7,MC,R053407,Reading for Information,Developing Interpretation,NoAsign,NoAsign
34,[7],Page 1,A,1,271,0.72,"34. In the article, the governor of California speaks of Ellie's ""ingenuity and dedication."" As used in the article, the word ""ingenuity"" means",cleverness,fame,stubbornness,gratitude,2007-8R8,"The word ""ingenuity"" means",8,2007,8R8,9,MC,R053409,Reading for Information,Developing Interpretation,NoAsign,NoAsign
35,[7],Page 1,C,1,273,0.72,"35. ""We don't get reports this thorough when we pay consultants hundreds of thousands of dollars.""

The author included this information to",show how the city saves money,describe the city budget,emphasize Ellie's achievement,criticize the city of Berkeley,2007-8R8,Author includes information to,8,2007,8R8,11,MC,R053411,Reading for Information,Examining Content and Structure,NoAsign,NoAsign
36,[8],Page 1,B,1,267,0.92,36. This passage is mostly about the,hardships of ocean travel in the nineteenth century,struggles of the early immigrants entering America,many opportunities to make money in America,effect of immigration on European countries,2005-8R7,Ellis Island: Passage is about -- struggles    ,8,2005,8R7,1,MC,R012701,Reading for Information,Forming a General Understanding,NoAsign,NoAsign
37,[8],Page 1,C,1,268,0.89,37. What most worried the immigrants about the medical examinations?,They did not want to be sent to the hospital.,They could not afford to pay the doctors.,They did not want to be deported.,They were too seasick to stand in line.,2005-8R7,Ellis Island: Most worry about med exams,8,2005,8R7,3,MC,R012707,Reading for Information,Developing Interpretation,NoAsign,NoAsign
38,[8],Page 1,C,1,273,0.76,38. What did the immigrants dislike most about their trip to America?,Seeing Ellis Island for the first time,Leaving their native countries,Living conditions aboard the boat,Letting the Americans off the boat first,2005-8R7,Ellis Island: Disliked trip -- condition,8,2005,8R7,4,MC,R012704,Reading for Information,Developing Interpretation,NoAsign,NoAsign
39,[8],Page 1,D,1,273,0.7,"39. The statement that immigrants had to ""contend with border guards, thieves, and crooked immigration agents"" means that the immigrants",were being introduced to America's legal system,learned that America had many people,learned to adapt to America's freedoms,faced obstacles that might discourage some people,2005-8R7,"Ellis Island: ""Contend with...guards"" -- obstacles      ",8,2005,8R7,7,MC,R012711,Reading for Information,Examining Content and Structure,NoAsign,NoAsign
40,[8],Page 1,A,1,269,0.83,"40. Ellis Island was called ""the doorway to America"" because it",was the place most immigrants had to pass through before entering the United States,had a large and famous entranceway that immigrants walked through,was the only port in the United States where foreign ships could dock safely,was actually a large ship that carried the immigrants to the United States,2005-8R7,"Ellis Island: Called ""doorway to America""           ",8,2005,8R7,9,MC,R012709,Reading for Information,Examining Content and Structure,NoAsign,NoAsign
41,[8],Page 1,B,1,273,0.67,41. The United States eventually reduced the number of immigrants allowed to enter the country because,the United States already had too many people,the immigrants were taking jobs away from American workers,the immigrants had too many hardships to face in America,the country that the immigrants came from was angry about them leaving,2005-8R7,Ellis Island: Immigrants reduced -- take jobs,8,2005,8R7,12,MC,R012712,Reading for Information,Developing Interpretation,NoAsign,NoAsign
42,[9],Page 1,B,1,270,0.82,42. The main purpose of the article is to describe how robots can be programmed to,locate metal pucks,work with each other,recharge their own batteries,perform five basic behaviors,2002-8R8,Sharebots: Purpose of article--work,8,2002,8R8,1,MC,R017201,Reading for Information,Forming a General Understanding,NoAsign,NoAsign
43,[9],Page 1,C,1,274,0.72,"43. Based on how the robots in the article are equipped and the behaviors they are programmed to perform, which of the following jobs could they most likely do in someone's home?",Open cans of food,Open doors and cabinets,Pick up shoes on the floor,Move furniture around a room,2002-8R8,Sharebots: Which jobs perform--pick up,8,2002,8R8,3,MC,R017203,Reading for Information,Developing Interpretation,NoAsign,NoAsign
44,[9],Page 1,B,2,274,0.57,"44. The following sentence appears in the next-to-last paragraph of the article:

""With this simple social contract, the robots needed only 15 minutes of practice to become altruistic.""

Based on how the word is used in the article, which of the following best describes what it means to be ""altruistic""?",To engage in an experiment,To provide assistance to others,To work without taking frequent breaks,To compete with others for the highest score,2002-8R8,Sharebots: Meaning of altruistic--assist,8,2002,8R8,6,MC,R017206,Reading for Information,Developing Interpretation,NoAsign,NoAsign
45,[9],Page 1,A,1,277,0.61,45. What change occurred when the robots were taught to share?,They did their jobs more efficiently.,They could accomplish small goals.,They performed more specialized tasks.,They began following each other in a line.,2002-8R8,Sharebots: What change--more efficient,8,2002,8R8,9,MC,R017209,Reading for Information,Developing Interpretation,NoAsign,NoAsign
46,[10],Page 1,A,1,270,0.7,46. Which idea from the text about the Anasazi do the photographs support?,They were able to create many useful objects.,Farming was probably their major source of food.,Wood seems to have been their primary building material.,Their life became much easier when they moved into the cliff dwellings.,1994-8R8,Lost People: What Idea Supported By Photos,8,1994,8R8,5,MC,R016005,Reading for Information,Developing Interpretation,NoAsign,NoAsign
47,[10],Page 1,D,2,273,0.59,47. The Anasazi's life before 1200 A.D. was portrayed by the author as being,dangerous and warlike,busy and exciting,difficult and dreary,productive and peaceful,1994-8R8,Lost People: Anasazi's Early Life - Peaceful,8,1994,8R8,7,MC,R016007,Reading for Information,Developing Interpretation,NoAsign,NoAsign
48,[10],Page 1,C,1,269,0.84,48. The title and photograph on the first page of the article are probably meant to make the disappearance of the Anasazi seem to be,a personal tragedy,a terrible mistake,an unsolved mystery,an important political event,1994-8R8,Lost People: Title Page Impression- Mystery,8,1994,8R8,8,MC,R016008,Reading for Information,Developing Interpretation,NoAsign,NoAsign
49,[11],Page 1,B,1,265,0.72,49. What made Dorothea Dix so successful in getting her point across?,She had taken speech lessons as a child.,She examined issues from many viewpoints.,She talked loudly to get everyone's attention.,She did not care what people thought of her.,1992-8R8,Dorothea: Able to Get Her Point Across - Many Views,8,1992,8R8,2,MC,R012902,Reading for Information,Developing Interpretation,NoAsign,NoAsign
50,[11],Page 1,D,2,272,0.46,50. How did Dorothea Dix prepare herself for visiting a state?,She examined the amount of charitable contributions made by the people in the state.,She counted the number of people with mental illness in the state's prisons.,She gathered information about taxes and humanitarianism in the state.,She studied laws and proposals for change in the state.,1992-8R8,Dorothea: Prepared for Visiting a State - Studied,8,1992,8R8,4,MC,R012904,Reading for Information,Developing Interpretation,NoAsign,NoAsign
51,[11],Page 1,D,1,275,0.63,51. What was one of Dorothea Dix's goals that was mentioned in the passage?,Establishing a trust fund for teachers of people with mental illness,Finding a cure for mental illness,Establishing asylums in Russia and Turkey,Getting national laws enacted to improve living conditions in asylums,1992-8R8,Dorothea: Was One of Dorothea's Goals - Enact Laws,8,1992,8R8,6,MC,R012906,Reading for Information,Developing Interpretation,NoAsign,NoAsign
52,[11],Page 1,B,1,270,0.74,52. Why did Dorothea Dix's first memorial (report) cause such an uproar?,It was too long and poorly written.,It concerned a topic no one wanted to discuss in public.,It contained personal information about Dix's health.,It attacked the reputation of several members of Congress.,1992-8R8,Dorothea: Memorial Report Caused Uproar - Topic,8,1992,8R8,8,MC,R012908,Reading for Information,Developing Interpretation,NoAsign,NoAsign
53,[11],Page 1,C,2,278,0.5,53. The training Dorothea Dix received from her grandmother paid off because it,helped her learn how to accept criticism,made her decide to be a Sunday school teacher,helped her to conduct careful research,made her aware of the problem of people with mental illness,1992-8R8,Dorothea: Training From Her Grandmother - Research ,8,1992,8R8,11,MC,R012911,Reading for Information,Developing Interpretation,NoAsign,NoAsign
54,[11],Page 1,A,1,269,0.83,54. What would most likely have happened if Dorothea Dix had not taken careful notes during her visits to the asylums?,Her research would never have been accepted.,She would have had financial problems.,Her grandmother would have been embarrassed.,She would have developed a better memory for detail.,1992-8R8,Dorothea: If Careful Notes Weren't Made - Not Accept,8,1992,8R8,12,MC,R012912,Reading for Information,Examining Content and Structure,NoAsign,NoAsign
55,[11],Page 1,B,1,269,0.79,55. Why is Dorothea Dix's poor health mentioned periodically throughout the passage?,To make us feel sorry for her,To remind us of the difficulties she overcame,To highlight her unrealistic attitude about good health,To draw attention to the effects of tuberculosis,1992-8R8,Dorothea: Why Poor Health is Mentioned - Overcame,8,1992,8R8,13,MC,R012913,Reading for Information,Examining Content and Structure,NoAsign,NoAsign
56,[12],Page 1,B,2,262,0.57,56. The first passage is mostly about,the settling of the Oregon Territory,the development and use of the Oregon Trail,reasons that people wanted to move to Oregon,the plight of American Indians,1992-8R13,Oregon Trail: 1st Passage Mostly About - Development ,8,1992,8R13,1,MC,R014701,Reading for Information,Forming a General Understanding,NoAsign,NoAsign
57,[12],Page 2,D,3,277,0.4,57. The second passage is mostly about,the catching of a particularly large catfish,how a brief diary account can become a short story,how a daughter tried to impress her father,"a ""slice of life"" from along the Oregon Trail",1992-8R13,Oregon Trail: 2nd Passage Mostly About - Slice of,8,1992,8R13,7,MC,R014707,Reading for Information,Forming a General Understanding,NoAsign,NoAsign
58,[12],Page 2,A,1,266,0.76,58. The reason that the second passage is believable is that it,is based on an actual diary entry,has dialogue between the characters,has a surprise ending,includes elements of suspense,1992-8R13,Oregon Trail: 2nd Passage is Believable - Diary,8,1992,8R13,8,MC,R014708,Reading for Information,Examining Content and Structure,NoAsign,NoAsign
59,[12],Page 1;Page 2,B,1,266,0.75,59. What evidence shows that traveling the Oregon Trail was dangerous?,The United States and Britain almost fought a border war.,"In a 16-year period, at least 30,000 emigrants died on the trail.",What few doctors were available along the trail were poorly supplied.,Red Cloud and Crazy Horse fought to save their homelands.,1992-8R13,Oregon Trail: Shows Trail Was Dangerous - 30000 Died,8,1992,8R13,11,MC,R014711,Reading for Information,Developing Interpretation,NoAsign,NoAsign
60,[12],Page 1;Page 2,C,3,264,0.37,60. Who started the route that later became the Oregon Trail?,French fur traders,Pioneers,Indians,British soldiers,1992-8R13,Oregon Trail: Who Started Route of Trail - Indians,8,1992,8R13,12,MC,R014712,Reading for Information,Developing Interpretation,NoAsign,NoAsign
